Subject,Correlation,ROI,Image index
sub-02,0.02864342186862406,V2,14.0
sub-02,0.04305594579939359,V2,15.0
sub-02,0.13031391833902872,V2,16.0
sub-02,0.0181112679612235,V2,17.0
sub-02,0.07279858288192347,V2,18.0
sub-02,0.04465241250339669,V2,19.0
sub-02,0.03459141482385826,V2,20.0
sub-02,0.05475747922578079,V2,21.0
sub-02,0.047769400176786124,V2,22.0
sub-02,0.018231502981531752,V2,23.0
sub-02,0.030245758819069317,V2,24.0
sub-02,0.02891313457203253,V2,25.0
sub-02,0.0464495480884711,V2,26.0
sub-02,0.040542609511000825,V2,27.0
sub-02,0.06440569763797312,V2,28.0
sub-02,0.03079093048676119,V2,29.0
sub-02,0.04866632771146751,V2,30.0
sub-02,0.011452301651510365,V2,31.0
sub-02,0.022826864172123717,V2,32.0
sub-02,0.02598145186769742,V2,33.0
sub-02,0.027060889935139287,V2,34.0
sub-02,0.005139412288952652,V2,35.0
sub-02,0.033652793565543564,V2,36.0
sub-02,0.18266166774775439,V2,37.0
sub-02,0.019808731949124973,V2,38.0
sub-02,0.03152798590116455,V2,39.0
sub-02,0.030130414320464913,V2,40.0
sub-02,0.008515854174158354,V2,41.0
sub-02,0.057315415839133396,V2,42.0
sub-02,0.025301929906452376,V2,43.0
sub-02,0.03089333461761809,V2,44.0
sub-02,0.07487690443979332,V2,45.0
sub-02,0.05863283053841949,V2,46.0
sub-02,0.03343390244558884,V2,47.0
sub-02,0.06836406959500257,V2,48.0
sub-02,0.047626174362318266,V2,49.0
sub-02,0.04671621892502427,V2,50.0
sub-02,0.0325507704818017,V3,1.0
sub-02,0.07743852057532773,V3,2.0
sub-02,0.08680135967252499,V3,3.0
sub-02,0.05327332805112631,V3,4.0
sub-02,0.06840769933539588,V3,5.0
sub-02,0.027099821327143413,V3,6.0
sub-02,0.019996223601566256,V3,7.0
sub-02,0.022970457641174426,V3,8.0
sub-02,0.02835479127489273,V3,9.0
sub-02,0.02614870440754963,V3,10.0
sub-02,0.05107504867890147,V3,11.0
sub-02,0.012361256253300054,V3,12.0
sub-02,0.0633463561409288,V3,13.0
sub-02,0.03291898900738219,V3,14.0
sub-02,0.043781558168485286,V3,15.0
sub-02,0.12939903809538375,V3,16.0
sub-02,0.022085821508130585,V3,17.0
sub-02,0.07714451258087844,V3,18.0
sub-02,0.05144062317875077,V3,19.0
sub-02,0.033250555648289735,V3,20.0
sub-02,0.0403003289991847,V3,21.0
sub-02,0.04750689998360399,V3,22.0
sub-02,0.017554023541872084,V3,23.0
sub-02,0.033157099089091716,V3,24.0
sub-02,0.032234017318376176,V3,25.0
sub-02,0.066164913970265,V3,26.0
sub-02,0.037386432951559925,V3,27.0
sub-02,0.07349021736881468,V3,28.0
sub-02,0.026227765004781318,V3,29.0
sub-02,0.04826053591260734,V3,30.0
sub-02,0.015515358542518908,V3,31.0
sub-02,0.030220418997741357,V3,32.0
sub-02,0.03534562312830448,V3,33.0
sub-02,0.02740578766234864,V3,34.0
sub-02,0.005410253326942564,V3,35.0
sub-02,0.029823277003087106,V3,36.0
sub-02,0.1491743482545014,V3,37.0
sub-02,0.03026140733829803,V3,38.0
sub-02,0.02404430029838389,V3,39.0
sub-02,0.03060412965733197,V3,40.0
sub-02,0.018469692913996826,V3,41.0
sub-02,0.06566555013409127,V3,42.0
sub-02,0.027849137706885106,V3,43.0
sub-02,0.035925513914974234,V3,44.0
sub-02,0.06781417730614123,V3,45.0
sub-02,0.05899766794075258,V3,46.0
sub-02,0.02858059623417035,V3,47.0
sub-02,0.05590018557218766,V3,48.0
sub-02,0.061781512496840205,V3,49.0
sub-02,0.03543717964494656,V3,50.0
sub-02,0.030980557844029328,V4,1.0
sub-02,0.04707583936617742,V4,2.0
sub-02,0.05814655053726908,V4,3.0
sub-02,0.041230963579825315,V4,4.0
sub-02,0.0499299709457862,V4,5.0
sub-02,0.02702778907319186,V4,6.0
sub-02,0.02276251089676091,V4,7.0
sub-02,0.022860019624575813,V4,8.0
sub-02,0.04745699282042928,V4,9.0
sub-02,0.01982314512496534,V4,10.0
sub-02,0.0247362400221381,V4,11.0
sub-02,0.019307124044767903,V4,12.0
sub-02,0.05780348593497584,V4,13.0
sub-02,0.02844688900343589,V4,14.0
sub-02,0.04341522262933948,V4,15.0
sub-02,0.033482100113642305,V4,16.0
sub-02,0.03211413072659118,V4,17.0
sub-02,0.03999520102562888,V4,18.0
sub-02,0.028940719467787254,V4,19.0
sub-02,0.034081606689517395,V4,20.0
sub-02,0.021844330050883643,V4,21.0
sub-02,0.061755942027485765,V4,22.0
sub-02,0.022903643432921467,V4,23.0
sub-02,0.022732040982606436,V4,24.0
sub-02,0.03490873085899561,V4,25.0
sub-02,0.03544802092963742,V4,26.0
sub-02,0.033577041749914986,V4,27.0
sub-02,0.05610344194192555,V4,28.0
sub-02,0.01489571029208997,V4,29.0
sub-02,0.03314134712430977,V4,30.0
sub-02,0.01164645157196994,V4,31.0
sub-02,0.04133994953287276,V4,32.0
sub-02,0.03591428614085299,V4,33.0
sub-02,0.02501753812671596,V4,34.0
sub-02,0.002498110738855182,V4,35.0
sub-02,0.02453902723360418,V4,36.0
sub-02,0.0723345239344648,V4,37.0
sub-02,0.02963836321271233,V4,38.0
sub-02,0.02103258400134744,V4,39.0
sub-02,0.022378840877040385,V4,40.0
sub-02,0.03379627936876099,V4,41.0
sub-02,0.041001097224094896,V4,42.0
sub-02,0.023581114043270995,V4,43.0
sub-02,0.02303534212129027,V4,44.0
sub-02,0.05541713985455182,V4,45.0
sub-02,0.02274464687202764,V4,46.0
sub-02,0.024528713347664616,V4,47.0
sub-02,0.03734602028349361,V4,48.0
sub-02,0.052833454582345014,V4,49.0
sub-02,0.020765441793960292,V4,50.0
sub-02,0.015709034800333595,HVC,1.0
sub-02,0.03927464150732905,HVC,2.0
sub-02,0.03436164511536728,HVC,3.0
sub-02,0.04222919425455451,HVC,4.0
sub-02,0.016173437041934812,HVC,5.0
sub-02,0.017435546486943343,HVC,6.0
sub-02,0.025122616865704866,HVC,7.0
sub-02,0.019290708465278444,HVC,8.0
sub-02,0.047339985480647793,HVC,9.0
sub-02,0.02213670613873225,HVC,10.0
sub-02,0.015563588565245014,HVC,11.0
sub-02,0.006196332101340071,HVC,12.0
sub-02,0.03901659457521991,HVC,13.0
sub-02,0.019183644922800648,HVC,14.0
sub-02,0.03178192263692882,HVC,15.0
sub-02,0.01962400183816071,HVC,16.0
sub-02,0.013807684679794676,HVC,17.0
sub-02,0.020457547987193046,HVC,18.0
sub-02,0.025868585345002092,HVC,19.0
sub-02,0.018952814486243662,HVC,20.0
sub-02,0.007118753725507112,HVC,21.0
sub-02,0.05496650885742125,HVC,22.0
sub-02,0.02206752985558012,HVC,23.0
sub-02,0.01891137474820486,HVC,24.0
sub-02,0.02790878952304403,HVC,25.0
sub-02,0.009344365920397496,HVC,26.0
sub-02,0.04686732544458882,HVC,27.0
sub-02,0.008510215062012586,HVC,28.0
sub-02,0.0056929397613543625,HVC,29.0
sub-02,0.03688117915321895,HVC,30.0
sub-02,0.021601069255478708,HVC,31.0
sub-02,0.0425676837719565,HVC,32.0
sub-02,0.04014424409339477,HVC,33.0
sub-02,0.015048948944950517,HVC,34.0
sub-02,-0.0009448886693638634,HVC,35.0
sub-02,0.02153825156444081,HVC,36.0
sub-02,0.027289387770185344,HVC,37.0
sub-02,0.04086088334127817,HVC,38.0
sub-02,0.012676224550836496,HVC,39.0
sub-02,0.018817779982973154,HVC,40.0
sub-02,0.02354906010298388,HVC,41.0
sub-02,0.01253797193194715,HVC,42.0
sub-02,0.012887462414134198,HVC,43.0
sub-02,0.025304359444358552,HVC,44.0
sub-02,0.02077045833780471,HVC,45.0
sub-02,0.01298955761583983,HVC,46.0
sub-02,0.016181448031264565,HVC,47.0
sub-02,0.02878954330170781,HVC,48.0
sub-02,0.032263915180304935,HVC,49.0
sub-02,0.020788556508788202,HVC,50.0
sub-03,0.042327972757867025,VC,1.0
sub-03,0.06233255662394433,VC,2.0
sub-03,0.0494526126585662,VC,3.0
sub-03,0.03479637591621772,VC,4.0
sub-03,0.06362707075087383,VC,5.0
sub-03,0.030983761230487388,VC,6.0
sub-03,0.04685486347188903,VC,7.0
sub-03,0.023953221172898127,VC,8.0
sub-03,0.03049740038946056,VC,9.0
sub-03,0.05228729100788462,VC,10.0
sub-03,0.031712091951900695,VC,11.0
sub-03,0.024597696771971173,VC,12.0
sub-03,0.04374599562491795,VC,13.0
sub-03,0.04291403592895554,VC,14.0
sub-03,0.07284012926189055,VC,15.0
sub-03,0.12085239290076176,VC,16.0
sub-03,0.04463392659124013,VC,17.0
sub-03,0.09212106218020484,VC,18.0
sub-03,0.037159866239613176,VC,19.0
sub-03,0.045312663847359484,VC,20.0
sub-03,0.06499189397473429,VC,21.0
sub-03,0.06343983252752361,VC,22.0
sub-03,0.036253053294475174,VC,23.0
sub-03,0.04089110917110707,VC,24.0
sub-03,0.03938886988074418,VC,25.0
sub-03,0.05695822544084103,VC,26.0
sub-03,0.07829034994092354,VC,27.0
sub-03,0.06674338337541247,VC,28.0
sub-03,0.03745939060325424,VC,29.0
sub-03,0.03734506751383049,VC,30.0
sub-03,0.026699815266611845,VC,31.0
sub-03,0.059137789696514766,VC,32.0
sub-03,0.06153793895203116,VC,33.0
sub-03,0.05125797836057649,VC,34.0
sub-03,0.027161354615928227,VC,35.0
sub-03,0.05914513419508878,VC,36.0
sub-03,0.15137647044689312,VC,37.0
sub-03,0.06329345759006028,VC,38.0
sub-03,0.034685493308650193,VC,39.0
sub-03,0.04774126624603663,VC,40.0
sub-03,0.04473775516358854,VC,41.0
sub-03,0.07432756462526441,VC,42.0
sub-03,0.03904731054805353,VC,43.0
sub-03,0.032867008555244985,VC,44.0
sub-03,0.06612659425706185,VC,45.0
sub-03,0.07986031914244149,VC,46.0
sub-03,0.039472414525664426,VC,47.0
sub-03,0.05655122750609501,VC,48.0
sub-03,0.05460714493613766,VC,49.0
sub-03,0.06011775273770997,VC,50.0
sub-03,0.09889136097707642,V1,1.0
sub-03,0.11458128087049288,V1,2.0
sub-03,0.11434540912757596,V1,3.0
sub-03,0.07137919733055059,V1,4.0
sub-03,0.13373271304806553,V1,5.0
sub-03,0.061796171463346844,V1,6.0
sub-03,0.10372738597975743,V1,7.0
sub-03,0.05465860024275942,V1,8.0
sub-03,0.03780561859905321,V1,9.0
