Source,Target,Number of samples,Correlation,Method,ROI,Image index
sub01,sub02,6000,0.034654930726767695,brain_loss,V3,26.0
sub01,sub02,6000,0.030321441207790116,brain_loss,V3,27.0
sub01,sub02,6000,0.04377159949907889,brain_loss,V3,28.0
sub01,sub02,6000,0.03522493519763997,brain_loss,V3,29.0
sub01,sub02,6000,0.02156600769749166,brain_loss,V3,30.0
sub01,sub02,6000,0.01814575652823834,brain_loss,V3,31.0
sub01,sub02,6000,0.025487561704756738,brain_loss,V3,32.0
sub01,sub02,6000,0.017207071353074505,brain_loss,V3,33.0
sub01,sub02,6000,0.018259582456919447,brain_loss,V3,34.0
sub01,sub02,6000,0.01759569944503358,brain_loss,V3,35.0
sub01,sub02,6000,0.03797941126117341,brain_loss,V3,36.0
sub01,sub02,6000,0.10869579424626126,brain_loss,V3,37.0
sub01,sub02,6000,0.024991511416002865,brain_loss,V3,38.0
sub01,sub02,6000,0.015817716497412582,brain_loss,V3,39.0
sub01,sub02,6000,0.020869196495373967,brain_loss,V3,40.0
sub01,sub02,6000,0.01860636278784388,brain_loss,V3,41.0
sub01,sub02,6000,0.047501801064313606,brain_loss,V3,42.0
sub01,sub02,6000,0.03305190653128747,brain_loss,V3,43.0
sub01,sub02,6000,0.021338385079348973,brain_loss,V3,44.0
sub01,sub02,6000,0.07361870641730887,brain_loss,V3,45.0
sub01,sub02,6000,0.0319834402979937,brain_loss,V3,46.0
sub01,sub02,6000,0.018459835482855,brain_loss,V3,47.0
sub01,sub02,6000,0.028674680460354554,brain_loss,V3,48.0
sub01,sub02,6000,0.02272548425252265,brain_loss,V3,49.0
sub01,sub02,6000,0.033863723881782874,brain_loss,V3,50.0
sub01,sub02,6000,0.02003953054542175,brain_loss,V4,1.0
sub01,sub02,6000,0.04856685862985822,brain_loss,V4,2.0
sub01,sub02,6000,0.04235171239316753,brain_loss,V4,3.0
sub01,sub02,6000,0.035033663002978624,brain_loss,V4,4.0
sub01,sub02,6000,0.021899721363683337,brain_loss,V4,5.0
sub01,sub02,6000,0.01590637240633778,brain_loss,V4,6.0
