Subject,Threshold 1,Threshold 5,ROI,Image index
sub01,0.0009252043622856613,0.0006533410371634317,VC,1
sub01,0.0011293679115216967,0.0008127295374588132,VC,2
sub01,0.0011036419908402333,0.0007857324549377497,VC,3
sub01,0.0011035776624024997,0.0007837317288259632,VC,4
sub01,0.0010734467611346389,0.0007444869707205029,VC,5
sub01,0.0011358234538494268,0.000810148846679959,VC,6
sub01,0.0011713387987553245,0.0008415169992289206,VC,7
sub01,0.0011261507079834824,0.0007987851838627542,VC,8
sub01,0.0010887125991343196,0.0007583384838503036,VC,9
sub01,0.0011650693212108523,0.0008335765536390519,VC,10
sub01,0.0011257433912989277,0.0008104563861632333,VC,11
sub01,0.001044377872900644,0.0007453687642822879,VC,12
sub01,0.0010804197069921291,0.0007791352873821839,VC,13
sub01,0.0011115374586331069,0.0007882470297630183,VC,14
sub01,0.0010575572362076261,0.0007646447086068281,VC,15
sub01,0.001084294270659246,0.000760101044058629,VC,16
sub01,0.0010524417810319076,0.0007565677392031188,VC,17
sub01,0.0009975751268294216,0.0006942258771883183,VC,18
sub01,0.0010329500791748812,0.0007273564269908463,VC,19
sub01,0.0010964339603016997,0.0007934969381013601,VC,20
sub01,0.001074550872521173,0.0007661099605863165,VC,21
sub01,0.0013496768974448634,0.000946253527180632,VC,22
sub01,0.0012110047481886169,0.0008592657623645049,VC,23
sub01,0.0010817504699261317,0.0007589700184100136,VC,24
sub01,0.000995484906319944,0.0007041781252248593,VC,25
sub01,0.0010511321828704187,0.0007471595551496807,VC,26
sub01,0.0010768470941246615,0.0007688151628591923,VC,27
sub01,0.0010352725722662754,0.0007040345871832557,VC,28
sub01,0.0013900234359641567,0.0010206083315315528,VC,29
sub01,0.0010843621382725435,0.0007846968850562647,VC,30
sub01,0.001243591894215573,0.0008584094250059856,VC,31
sub01,0.0011935449567812984,0.000818888468568825,VC,32
sub01,0.0010793024015448823,0.0007847915410599562,VC,33
sub01,0.0010154102906905734,0.000726684020409852,VC,34
sub01,0.0011506849506000764,0.0008165358133884151,VC,35
sub01,0.0010550507644424064,0.0007655333993864276,VC,36
sub01,0.0010608079901115173,0.0007729283434640644,VC,37
sub01,0.001102928320890809,0.0007827933815263687,VC,38
sub01,0.0011432123095589427,0.0008252691611835066,VC,39
sub01,0.0012071633026465736,0.0008483835617061766,VC,40
sub01,0.0013255788939981015,0.0009408280763590525,VC,41
sub01,0.0012017688336058451,0.0008382734111122094,VC,42
sub01,0.0010234438705819724,0.000731335985760036,VC,43
sub01,0.0010876110482277354,0.0007679482055780222,VC,44
sub01,0.001249225157001959,0.0008588697660775169,VC,45
sub01,0.0009615074992263035,0.0006938345296264557,VC,46
sub01,0.0011911451946618856,0.0008408209939892516,VC,47
sub01,0.001257649385572295,0.0008706161455885265,VC,48
sub01,0.0011022734877771687,0.0007885917932590044,VC,49
sub01,0.0013474002018788026,0.0009670658018894957,VC,50
sub01,0.0020034492276356183,0.0014296468952689195,V1,1
sub01,0.002357886469530003,0.0016465740396510065,V1,2
sub01,0.0023044893197232547,0.0016103786063268101,V1,3
sub01,0.0022203629739752347,0.0016008496743111524,V1,4
sub01,0.002118081498656626,0.001488508603051857,V1,5
sub01,0.0023929972372529343,0.001708917864548217,V1,6
sub01,0.002576739555642344,0.0017971703311558866,V1,7
sub01,0.0024461445588733876,0.001677214814257046,V1,8
sub01,0.0022767035806285597,0.0016084983921458627,V1,9
sub01,0.002373875728116805,0.0016950981084896746,V1,10
sub01,0.002423919310850079,0.0016792420521662193,V1,11
sub01,0.002240338000183261,0.0015327999208908961,V1,12
sub01,0.002144353383185678,0.0015366029140044225,V1,13
sub01,0.0023675622058229664,0.0016797452953962277,V1,14
sub01,0.0022551870392244094,0.0015914370367729204,V1,15
sub01,0.002110432862256332,0.0015064780867164243,V1,16
sub01,0.0020459027658688927,0.0014420722684894915,V1,17
sub01,0.0020244808368271986,0.0013955955951787113,V1,18
sub01,0.0020992076415121846,0.0014601428104581097,V1,19
sub01,0.002387596711259032,0.0016670664082749174,V1,20
sub01,0.002354366416591374,0.0016360495665226629,V1,21
sub01,0.0028971461643018752,0.0020339648444570673,V1,22
sub01,0.0025191646369918295,0.0018204175029781994,V1,23
sub01,0.00230452625160462,0.0016032481154673193,V1,24
sub01,0.002084192051057705,0.0014737055111315477,V1,25
sub01,0.0020502485966031685,0.0014206629093379433,V1,26
sub01,0.002116704029250274,0.0015203144282475926,V1,27
sub01,0.0020287444511780414,0.0014245806469488347,V1,28
sub01,0.0031310639837751043,0.002173526466341215,V1,29
sub01,0.0023385590339113343,0.0016161459475960134,V1,30
sub01,0.0024943205028225405,0.001713420373624827,V1,31
sub01,0.0024867234110553184,0.0017306652774852953,V1,32
sub01,0.002325996724744527,0.0016148025524034063,V1,33
sub01,0.0020860903689215488,0.0014453597420139284,V1,34
sub01,0.002366057079336117,0.0016651791372091621,V1,35
sub01,0.0022556493140502365,0.0015639293956988454,V1,36
sub01,0.0024990222242819776,0.0017247175267152495,V1,37
sub01,0.0023141552577795065,0.0016252450542513432,V1,38
sub01,0.002341556284301486,0.0016348109574695793,V1,39
sub01,0.0025021813287160292,0.0017301849964646019,V1,40
sub01,0.0027852849176391394,0.001976010176514736,V1,41
sub01,0.0025209038739769894,0.0017879453441234303,V1,42
sub01,0.00211754367980029,0.0014952624953915926,V1,43
sub01,0.002264040768669876,0.0015997072740059786,V1,44
sub01,0.002594303051950823,0.0018840634933929257,V1,45
sub01,0.0019121165797086176,0.0013649156057528825,V1,46
sub01,0.0026409282030873033,0.0018559059697266056,V1,47
sub01,0.00267455647023725,0.0018605659422595035,V1,48
sub01,0.002255482411945521,0.0015967009825142153,V1,49
sub01,0.0028076871607617708,0.0020012326438182317,V1,50
sub01,0.0019941403005987323,0.0014038194953491204,V2,1
sub01,0.0023452085739942125,0.0016527403639597484,V2,2
sub01,0.0022751515027293443,0.001599509170617164,V2,3
sub01,0.0022703787501170435,0.0015971271956297054,V2,4
sub01,0.0021181759287480597,0.0014997799742211496,V2,5
sub01,0.0024437175126124887,0.001672271790176091,V2,6
sub01,0.0026158110609235618,0.001835890252860501,V2,7
sub01,0.002308077576880521,0.0016236679383202248,V2,8
sub01,0.002331795491529624,0.001650439107879961,V2,9
sub01,0.002467907023768512,0.00171529365676922,V2,10
sub01,0.0023341153344701325,0.001662182113614187,V2,11
sub01,0.002170186126738818,0.0015317179038022266,V2,12
sub01,0.0021446759561543176,0.001548193792641567,V2,13
sub01,0.0023194635461437694,0.0016654994345673207,V2,14
sub01,0.002288613292391925,0.0015935616819871426,V2,15
sub01,0.0020896521575067234,0.0015021672527928836,V2,16
sub01,0.0020187142021163866,0.0014612574904629082,V2,17
sub01,0.0020270992450495363,0.0014221066279012722,V2,18
sub01,0.002093981051288296,0.001462336008490189,V2,19
sub01,0.0023097003384905204,0.0016406822228491873,V2,20
sub01,0.0023301055256671798,0.001603682191283621,V2,21
sub01,0.003101946515022269,0.0022057862438289444,V2,22
sub01,0.0024617709203564185,0.0017556330187922806,V2,23
sub01,0.0022635971269001054,0.0016206658237261772,V2,24
sub01,0.0020780167034895373,0.0014514382869558321,V2,25
sub01,0.002112854722036342,0.0015085534730051996,V2,26
sub01,0.002125050988849592,0.0015280168849896797,V2,27
sub01,0.0020592600649073267,0.001419964851649591,V2,28
sub01,0.003208967973327275,0.0022377973096649488,V2,29
sub01,0.0023888001814258513,0.0016567254479182823,V2,30
sub01,0.002419748642395809,0.0017265528108979084,V2,31
sub01,0.0023076166106301417,0.0016594315166025928,V2,32
sub01,0.0021939265040206244,0.001567067756550654,V2,33
sub01,0.0020418558482246203,0.0014617407786703066,V2,34
sub01,0.0024122642492475197,0.0016809131569348729,V2,35
sub01,0.002179557919304916,0.0015491191640226178,V2,36
sub01,0.0023679128572831934,0.0017058848169606321,V2,37
sub01,0.0024382392353286516,0.0017771581428576528,V2,38
