Source,Target,Number of samples,Identification accuracy,Method,ROI,Layer
sub01,sub05,6000,0.976734693877551,content_loss,VC,fc6
sub01,sub05,6000,0.9706122448979592,content_loss,VC,relu6
sub01,sub05,6000,0.9510204081632654,content_loss,VC,fc7
sub01,sub05,6000,0.9477551020408163,content_loss,VC,relu7
sub01,sub05,6000,0.9314285714285714,content_loss,VC,fc8
sub02,sub01,6000,0.8269387755102042,content_loss,VC,conv1
sub02,sub01,6000,0.9685714285714286,content_loss,VC,conv2
sub02,sub01,6000,0.9922448979591837,content_loss,VC,conv3
sub02,sub01,6000,0.9938775510204081,content_loss,VC,conv4
sub02,sub01,6000,0.9885714285714284,content_loss,VC,conv5
sub02,sub01,6000,0.9828571428571428,content_loss,VC,fc6
sub02,sub01,6000,0.9783673469387755,content_loss,VC,relu6
sub02,sub01,6000,0.9697959183673468,content_loss,VC,fc7
sub02,sub01,6000,0.9669387755102042,content_loss,VC,relu7
sub02,sub01,6000,0.9457142857142858,content_loss,VC,fc8
sub02,sub03,6000,0.8326530612244898,content_loss,VC,conv1
sub02,sub03,6000,0.966938775510204,content_loss,VC,conv2
sub02,sub03,6000,0.9922448979591837,content_loss,VC,conv3
sub02,sub03,6000,0.9893877551020409,content_loss,VC,conv4
sub02,sub03,6000,0.9877551020408163,content_loss,VC,conv5
sub02,sub03,6000,0.9763265306122448,content_loss,VC,fc6
sub02,sub03,6000,0.9824489795918367,content_loss,VC,relu6
sub02,sub03,6000,0.9677551020408164,content_loss,VC,fc7
sub02,sub03,6000,0.9546938775510203,content_loss,VC,relu7
sub02,sub03,6000,0.9395918367346938,content_loss,VC,fc8
sub02,sub04,6000,0.8440816326530611,content_loss,VC,conv1
sub02,sub04,6000,0.9640816326530611,content_loss,VC,conv2
sub02,sub04,6000,0.9934693877551021,content_loss,VC,conv3
sub02,sub04,6000,0.993061224489796,content_loss,VC,conv4
sub02,sub04,6000,0.9922448979591837,content_loss,VC,conv5
sub02,sub04,6000,0.98,content_loss,VC,fc6
sub02,sub04,6000,0.9746938775510203,content_loss,VC,relu6
sub02,sub04,6000,0.9665306122448979,content_loss,VC,fc7
sub02,sub04,6000,0.9669387755102042,content_loss,VC,relu7
sub02,sub04,6000,0.956734693877551,content_loss,VC,fc8
sub02,sub05,6000,0.8146938775510205,content_loss,VC,conv1
sub02,sub05,6000,0.9571428571428571,content_loss,VC,conv2
sub02,sub05,6000,0.9918367346938776,content_loss,VC,conv3
