Source,Target,Number of samples,Profile correlation,Pattern correlation,Identification accuracy,Method,ROI,Layer
sub01,sub02,6000,0.4761842584736615,0.4763402660607457,0.7648979591836735,brain_loss,VC,fc8
sub01,sub02,6000,0.3129472253026368,0.33385147412719557,0.9220408163265306,brain_loss,VC,fc7
sub01,sub02,6000,0.33222428389464653,0.33744752604436223,0.9126530612244897,brain_loss,VC,fc6
sub01,sub02,6000,0.2979131489419887,0.2713381596369794,0.8832653061224489,brain_loss,VC,conv5_4
sub01,sub02,6000,0.30696589490732773,0.3093565482631223,0.9620408163265306,brain_loss,VC,conv5_3
sub01,sub02,6000,0.32022651644910904,0.3268945983413009,0.9485714285714285,brain_loss,VC,conv5_2
sub01,sub02,6000,0.31921345257914285,0.32709264322536774,0.9718367346938774,brain_loss,VC,conv5_1
sub01,sub02,6000,0.2599491347696038,0.25240073906034877,0.9689795918367347,brain_loss,VC,conv4_4
sub01,sub02,6000,0.2497187935259957,0.25901909918711186,0.9730612244897959,brain_loss,VC,conv4_3
sub01,sub02,6000,0.2792439208160255,0.2978804584334993,0.9061224489795917,brain_loss,VC,conv4_2
sub01,sub02,6000,0.2992280924510672,0.314678616928113,0.8938775510204081,brain_loss,VC,conv4_1
sub01,sub02,6000,0.22471026939830255,0.22891587142234812,0.8612244897959184,brain_loss,VC,conv3_4
sub01,sub02,6000,0.2513712065038245,0.24795790062597617,0.8661224489795919,brain_loss,VC,conv3_3
sub01,sub02,6000,0.19500895321362005,0.2044622493091921,0.8620408163265307,brain_loss,VC,conv3_2
sub01,sub02,6000,0.17300691474628935,0.18284168311395718,0.7040816326530613,brain_loss,VC,conv3_1
sub01,sub02,6000,0.09723200659045064,0.10363447472698156,0.7277551020408163,brain_loss,VC,conv2_2
sub01,sub02,6000,0.1696220256326782,0.17978825133986764,0.6910204081632654,brain_loss,VC,conv2_1
sub01,sub02,6000,0.14953280289553184,0.16185119718321567,0.5922448979591837,brain_loss,VC,conv1_2
sub01,sub02,6000,0.17552204063342267,0.19353576742666148,0.7330612244897958,brain_loss,VC,conv1_1
sub01,sub03,6000,0.4523302039009379,0.4606469782225661,0.7812244897959184,brain_loss,VC,fc8
sub01,sub03,6000,0.3077730756297033,0.3343848848851052,0.9240816326530612,brain_loss,VC,fc7
sub01,sub03,6000,0.34384580408960874,0.3425492764675879,0.9155102040816325,brain_loss,VC,fc6
sub01,sub03,6000,0.3084754829957422,0.273385474518411,0.8942857142857141,brain_loss,VC,conv5_4
sub01,sub03,6000,0.31642200304461576,0.31608974608429025,0.9669387755102039,brain_loss,VC,conv5_3
sub01,sub03,6000,0.3273724312503439,0.33262755735646143,0.9542857142857142,brain_loss,VC,conv5_2
sub01,sub03,6000,0.3307131577674456,0.33509155094690607,0.9759183673469388,brain_loss,VC,conv5_1
sub01,sub03,6000,0.26675326758775897,0.2567483939013484,0.9746938775510204,brain_loss,VC,conv4_4
sub01,sub03,6000,0.2601617587358655,0.2685652656296002,0.9771428571428571,brain_loss,VC,conv4_3
sub01,sub03,6000,0.2899157345906375,0.30882235287818305,0.9236734693877551,brain_loss,VC,conv4_2
sub01,sub03,6000,0.31277657803969033,0.32879641158166295,0.9167346938775509,brain_loss,VC,conv4_1
sub01,sub03,6000,0.23481770426552337,0.23914073416649434,0.8791836734693876,brain_loss,VC,conv3_4
sub01,sub03,6000,0.2629587764565037,0.25920976949243846,0.8844897959183675,brain_loss,VC,conv3_3
sub01,sub03,6000,0.20521702394158747,0.21486112607549743,0.8857142857142858,brain_loss,VC,conv3_2
sub01,sub03,6000,0.1813208604409799,0.19234837687904696,0.7277551020408163,brain_loss,VC,conv3_1
sub01,sub03,6000,0.10279381083237792,0.11141982264774088,0.7534693877551021,brain_loss,VC,conv2_2
sub01,sub03,6000,0.17380804157359106,0.18524373525995727,0.7012244897959183,brain_loss,VC,conv2_1
sub01,sub03,6000,0.1482674894169496,0.1601021592923975,0.586530612244898,brain_loss,VC,conv1_2
sub01,sub03,6000,0.1720426857841401,0.19374295423443433,0.7367346938775509,brain_loss,VC,conv1_1
sub01,sub04,6000,0.4636586259277285,0.46316107739337725,0.7710204081632652,brain_loss,VC,fc8
sub01,sub04,6000,0.29600807873763013,0.32779510216771934,0.9285714285714285,brain_loss,VC,fc7
sub01,sub04,6000,0.33391781401272713,0.3383434239125951,0.9155102040816326,brain_loss,VC,fc6
sub01,sub04,6000,0.308402243632129,0.2728662164251771,0.903673469387755,brain_loss,VC,conv5_4
sub01,sub04,6000,0.31545019586465906,0.3149721057304162,0.970612244897959,brain_loss,VC,conv5_3
sub01,sub04,6000,0.3262896870892875,0.33273644966589905,0.9628571428571427,brain_loss,VC,conv5_2
sub01,sub04,6000,0.3247429149686784,0.33283955747564725,0.9759183673469388,brain_loss,VC,conv5_1
sub01,sub04,6000,0.26414420318454274,0.26084059170927365,0.9746938775510203,brain_loss,VC,conv4_4
sub01,sub04,6000,0.25897359749487103,0.2699199844143944,0.9820408163265306,brain_loss,VC,conv4_3
sub01,sub04,6000,0.2892074344961361,0.3093714510811185,0.9281632653061225,brain_loss,VC,conv4_2
sub01,sub04,6000,0.3088870865034789,0.3254926565218376,0.9199999999999998,brain_loss,VC,conv4_1
sub01,sub04,6000,0.2317662461334571,0.23845414273488286,0.8816326530612245,brain_loss,VC,conv3_4
sub01,sub04,6000,0.25945728955610675,0.25873230570522743,0.8857142857142857,brain_loss,VC,conv3_3
sub01,sub04,6000,0.20284478165578354,0.21353815395516004,0.8848979591836733,brain_loss,VC,conv3_2
