Source,Target,Number of samples,Profile correlation,Pattern correlation,Identification accuracy,Method,ROI,Layer
sub01,sub04,6000,0.3460389162124149,0.3519348871580286,0.999591836734694,content_loss,VC,conv5_1
sub01,sub04,6000,0.2836794950773999,0.27565998841390615,0.9971428571428572,content_loss,VC,conv4_4
sub01,sub04,6000,0.2780265440961978,0.2864391892611198,0.9987755102040816,content_loss,VC,conv4_3
sub01,sub04,6000,0.3130445525775585,0.33187861849632433,0.9963265306122449,content_loss,VC,conv4_2
sub01,sub04,6000,0.33578249909425884,0.3527277249485332,0.9975510204081632,content_loss,VC,conv4_1
sub01,sub04,6000,0.25773383180944354,0.26731402517139224,0.9775510204081632,content_loss,VC,conv3_4
sub01,sub04,6000,0.28561706421279215,0.2855813913934936,0.9836734693877551,content_loss,VC,conv3_3
sub01,sub04,6000,0.22510687915661193,0.23896669746944954,0.9885714285714287,content_loss,VC,conv3_2
sub01,sub04,6000,0.2007144417910966,0.2157107875506086,0.9591836734693878,content_loss,VC,conv3_1
sub01,sub04,6000,0.11609519334395849,0.13265879208860087,0.923265306122449,content_loss,VC,conv2_2
sub01,sub04,6000,0.19525153104256948,0.21381724457523937,0.9093877551020408,content_loss,VC,conv2_1
sub01,sub04,6000,0.1757873027058565,0.19626423439750107,0.7685714285714285,content_loss,VC,conv1_2
sub01,sub04,6000,0.2049329479534279,0.2276659200135221,0.8102040816326529,content_loss,VC,conv1_1
sub01,sub05,6000,0.5074171349199587,0.5123906049179452,0.946122448979592,content_loss,VC,fc8
sub01,sub05,6000,0.34665506319308,0.3678836690643403,0.9751020408163263,content_loss,VC,fc7
sub01,sub05,6000,0.3822975055549738,0.3748172786444966,0.9746938775510204,content_loss,VC,fc6
sub01,sub05,6000,0.333050310372934,0.2952066501400205,0.9877551020408164,content_loss,VC,conv5_4
sub01,sub05,6000,0.3414244063720134,0.3362549004394835,0.9946938775510205,content_loss,VC,conv5_3
sub01,sub05,6000,0.3479258980852431,0.3494065879878559,0.9951020408163265,content_loss,VC,conv5_2
sub01,sub05,6000,0.3403557644790217,0.34629264060799203,0.9987755102040816,content_loss,VC,conv5_1
sub01,sub05,6000,0.27812710527240136,0.2691995536910145,0.9951020408163265,content_loss,VC,conv4_4
sub01,sub05,6000,0.2715295359229116,0.27986611160009145,0.9983673469387756,content_loss,VC,conv4_3
sub01,sub05,6000,0.3065284952259786,0.32571588596122597,0.9963265306122449,content_loss,VC,conv4_2
sub01,sub05,6000,0.33072166912288575,0.34760729795395967,0.9963265306122449,content_loss,VC,conv4_1
sub01,sub05,6000,0.2532419362881408,0.26270616870292024,0.9787755102040816,content_loss,VC,conv3_4
sub01,sub05,6000,0.28181107258842936,0.2812768538851687,0.9820408163265306,content_loss,VC,conv3_3
sub01,sub05,6000,0.22072565612878914,0.23460510967841494,0.9885714285714287,content_loss,VC,conv3_2
sub01,sub05,6000,0.19613266965318066,0.21077274033404497,0.9591836734693878,content_loss,VC,conv3_1
sub01,sub05,6000,0.11380817597821091,0.1303575640162034,0.9191836734693878,content_loss,VC,conv2_2
sub01,sub05,6000,0.19357595948704212,0.21264147624750404,0.9012244897959182,content_loss,VC,conv2_1
sub01,sub05,6000,0.17836551152797722,0.1994598041248857,0.773061224489796,content_loss,VC,conv1_2
sub01,sub05,6000,0.21034969229645478,0.23220731353910737,0.8159183673469387,content_loss,VC,conv1_1
sub02,sub01,6000,0.5051745019762187,0.5026238761014706,0.9436734693877551,content_loss,VC,fc8
sub02,sub01,6000,0.3316113532752485,0.35712787840923244,0.9783673469387755,content_loss,VC,fc7
sub02,sub01,6000,0.37133669167283523,0.3662648095117561,0.9779591836734695,content_loss,VC,fc6
